Year,Sea surface temperature anomaly,Ten year rolling average
1900,0.04,0
1901,-0.42,0
1902,-0.98,0
1903,-0.63,0
1904,-0.75,0
1905,-0.81,0
1906,-0.58,0
1907,-0.2,0
1908,-0.37,0
1909,-0.35,-0.505
1910,-0.32,-0.541
1911,-0.72,-0.571
1912,-0.58,-0.531
1913,-0.66,-0.534
1914,-0.64,-0.523
1915,-0.34,-0.476
1916,-0.11,-0.429
1917,-0.51,-0.46
1918,-0.62,-0.485
1919,-0.85,-0.535
1920,-0.62,-0.565
1921,-0.27,-0.52
1922,-0.25,-0.487
1923,-0.44,-0.465
1924,-0.13,-0.414
1925,-0.61,-0.441
1926,-0.4,-0.47
1927,-0.39,-0.458
1928,-0.39,-0.435
1929,-0.48,-0.398
1930,-0.67,-0.403
1931,-0.3,-0.406
1932,-0.55,-0.436
1933,-0.35,-0.427
1934,-0.51,-0.465
1935,-0.35,-0.439
1936,-0.36,-0.435
1937,-0.43,-0.439
1938,-0.12,-0.412
1939,-0.45,-0.409
1940,-0.5,-0.392
1941,-0.35,-0.397
1942,-0.05,-0.347
1943,0.3,-0.282
1944,0.17,-0.214
1945,0.19,-0.16
1946,-0.14,-0.138
1947,-0.35,-0.13
1948,-0.38,-0.156
1949,-0.57,-0.168
1950,-0.17,-0.135
1951,-0.33,-0.133
1952,-0.2,-0.148
1953,-0.27,-0.205
1954,-0.32,-0.254
1955,-0.29,-0.302
1956,0.05,-0.283
1957,-0.33,-0.281
1958,-0.15,-0.258
1959,-0.29,-0.23
1960,-0.14,-0.227
1961,-0.27,-0.221
1962,0.03,-0.198
1963,-0.13,-0.184
1964,-0.07,-0.159
1965,-0.66,-0.196
1966,-0.47,-0.248
1967,-0.24,-0.239
1968,-0.04,-0.228
1969,0.06,-0.193
1970,0.25,-0.154
1971,0.12,-0.115
1972,-0.26,-0.144
1973,0.34,-0.097
1974,0.14,-0.076
1975,0.12,0.002
1976,-0.05,0.044
1977,-0.1,0.058
1978,0.01,0.063
1979,0.03,0.06
1980,0.02,0.037
1981,0.2,0.045
1982,-0.23,0.048
1983,-0.01,0.013
1984,0.09,0.008
1985,0.12,0.008
1986,0.12,0.025
1987,-0.08,0.027
1988,0.44,0.07
1989,0.27,0.094
1990,0.26,0.118
1991,0,0.098
1992,-0.15,0.106
1993,-0.32,0.075
1994,-0.17,0.049
1995,0.34,0.071
1996,0.41,0.1
1997,-0.07,0.101
1998,0.62,0.119
1999,0.27,0.119
2000,0.24,0.117
2001,0.44,0.161
2002,0.43,0.219
2003,0.51,0.302
2004,0.37,0.356
2005,0.49,0.371
2006,0.27,0.357
2007,0.45,0.409
2008,0.4,0.387
2009,0.45,0.405
2010,0.6,0.441
2011,0.44,0.441
2012,0.31,0.429
2013,0.44,0.422
2014,0.4,0.425
2015,0.26,0.402
2016,0.85,0.46
2017,0.75,0.49
